,Frame,Mean,Game,Alg,Model
200,158400000,15650.72463768116,Asterix,Amp Single,0
201,160000000,11214.942528735632,Asterix,Amp Single,0
202,0,124.04063205417607,Asterix,Amp Single,1
203,1600000,273.1939163498099,Asterix,Amp Single,1
204,3200000,271.2809917355372,Asterix,Amp Single,1
205,4800000,277.4698795180723,Asterix,Amp Single,1
206,6400000,289.86710963455147,Asterix,Amp Single,1
207,8000000,373.9130434782609,Asterix,Amp Single,1
208,9600000,371.8112244897959,Asterix,Amp Single,1
209,11200000,468.25396825396825,Asterix,Amp Single,1
210,12800000,707.1929824561404,Asterix,Amp Single,1
211,14400000,861.3526570048309,Asterix,Amp Single,1
212,16000000,1030.184331797235,Asterix,Amp Single,1
213,17600000,1467.9144385026739,Asterix,Amp Single,1
214,19200000,1764.6341463414635,Asterix,Amp Single,1
215,20800000,2215.267175572519,Asterix,Amp Single,1
216,22400000,2174.285714285714,Asterix,Amp Single,1
217,24000000,1965.8064516129032,Asterix,Amp Single,1
218,25600000,2003.525641025641,Asterix,Amp Single,1
219,27200000,2512.5,Asterix,Amp Single,1
220,28800000,2747.6744186046512,Asterix,Amp Single,1
221,30400000,2523.758865248227,Asterix,Amp Single,1
222,32000000,2518.6991869918697,Asterix,Amp Single,1
223,33600000,2699.6124031007753,Asterix,Amp Single,1
224,35200000,2783.3333333333335,Asterix,Amp Single,1
225,36800000,2721.09375,Asterix,Amp Single,1
226,38400000,2996.72131147541,Asterix,Amp Single,1
227,40000000,2867.910447761194,Asterix,Amp Single,1
228,41600000,1979.4117647058824,Asterix,Amp Single,1
229,43200000,3065.0,Asterix,Amp Single,1
230,44800000,2878.676470588235,Asterix,Amp Single,1
231,46400000,3429.0,Asterix,Amp Single,1
232,48000000,2738.257575757576,Asterix,Amp Single,1
233,49600000,2866.6666666666665,Asterix,Amp Single,1
234,51200000,3622.7272727272725,Asterix,Amp Single,1
235,52800000,3212.9032258064517,Asterix,Amp Single,1
236,54400000,2276.158940397351,Asterix,Amp Single,1
237,56000000,4010.0,Asterix,Amp Single,1
238,57600000,3835.3982300884954,Asterix,Amp Single,1
239,59200000,3725.0,Asterix,Amp Single,1
240,60800000,3654.878048780488,Asterix,Amp Single,1
241,62400000,3569.491525423729,Asterix,Amp Single,1
242,64000000,5398.4375,Asterix,Amp Single,1
243,65600000,3646.788990825688,Asterix,Amp Single,1
244,67200000,5232.5,Asterix,Amp Single,1
245,68800000,4820.192307692308,Asterix,Amp Single,1
246,70400000,4969.902912621359,Asterix,Amp Single,1
247,72000000,5219.306930693069,Asterix,Amp Single,1
248,73600000,4316.831683168317,Asterix,Amp Single,1
249,75200000,4711.881188118812,Asterix,Amp Single,1
250,76800000,5513.0,Asterix,Amp Single,1
251,78400000,4763.761467889908,Asterix,Amp Single,1
252,80000000,4207.627118644068,Asterix,Amp Single,1
253,81600000,5705.263157894737,Asterix,Amp Single,1
254,83200000,3645.9349593495936,Asterix,Amp Single,1
255,84800000,5886.0,Asterix,Amp Single,1
256,86400000,2989.6428571428573,Asterix,Amp Single,1
257,88000000,5608.510638297872,Asterix,Amp Single,1
258,89600000,3404.3650793650795,Asterix,Amp Single,1
259,91200000,5281.382978723404,Asterix,Amp Single,1
260,92800000,3538.8888888888887,Asterix,Amp Single,1
261,94400000,6404.395604395604,Asterix,Amp Single,1
262,96000000,6541.847826086957,Asterix,Amp Single,1
263,97600000,9454.430379746835,Asterix,Amp Single,1
264,99200000,5984.408602150537,Asterix,Amp Single,1
265,100800000,7084.269662921349,Asterix,Amp Single,1
266,102400000,7333.146067415731,Asterix,Amp Single,1
267,104000000,6736.59793814433,Asterix,Amp Single,1
268,105600000,5978.282828282829,Asterix,Amp Single,1
269,107200000,6440.0,Asterix,Amp Single,1
270,108800000,12614.492753623188,Asterix,Amp Single,1
271,110400000,12468.30985915493,Asterix,Amp Single,1
272,112000000,11642.142857142857,Asterix,Amp Single,1
273,113600000,16417.543859649122,Asterix,Amp Single,1
274,115200000,10809.615384615385,Asterix,Amp Single,1
275,116800000,19295.535714285714,Asterix,Amp Single,1
276,118400000,9141.56626506024,Asterix,Amp Single,1
277,120000000,9950.0,Asterix,Amp Single,1
278,121600000,13436.231884057972,Asterix,Amp Single,1
279,123200000,13017.64705882353,Asterix,Amp Single,1
280,124800000,18139.344262295082,Asterix,Amp Single,1
281,126400000,13087.323943661971,Asterix,Amp Single,1
282,128000000,14811.42857142857,Asterix,Amp Single,1
283,129600000,18439.516129032258,Asterix,Amp Single,1
284,131200000,13095.945945945947,Asterix,Amp Single,1
285,132800000,12486.666666666666,Asterix,Amp Single,1
286,134400000,15500.0,Asterix,Amp Single,1
287,136000000,24271.69811320755,Asterix,Amp Single,1
288,137600000,20412.931034482757,Asterix,Amp Single,1
289,139200000,25667.30769230769,Asterix,Amp Single,1
290,140800000,22818.75,Asterix,Amp Single,1
291,142400000,20961.01694915254,Asterix,Amp Single,1
292,144000000,18429.6875,Asterix,Amp Single,1
293,145600000,15637.68115942029,Asterix,Amp Single,1
294,147200000,15103.731343283582,Asterix,Amp Single,1
295,148800000,21177.678571428572,Asterix,Amp Single,1
296,150400000,21952.63157894737,Asterix,Amp Single,1
297,152000000,14111.59420289855,Asterix,Amp Single,1
298,153600000,13432.432432432432,Asterix,Amp Single,1
299,155200000,24713.46153846154,Asterix,Amp Single,1
300,156800000,22505.555555555555,Asterix,Amp Single,1
301,158400000,19778.947368421053,Asterix,Amp Single,1
302,160000000,27724.48979591837,Asterix,Amp Single,1
303,0,170.8108108108108,Asterix,Amp Single,2
304,1600000,249.68684759916493,Asterix,Amp Single,2
305,3200000,222.99382716049382,Asterix,Amp Single,2
306,4800000,618.8172043010753,Asterix,Amp Single,2
307,6400000,274.42105263157896,Asterix,Amp Single,2
308,8000000,473.29842931937173,Asterix,Amp Single,2
309,9600000,524.7692307692307,Asterix,Amp Single,2
310,11200000,679.9163179916318,Asterix,Amp Single,2
