,Frame,Mean,Game,Alg,Model,Average Score,Best Score
124,10000000,2929.435483870968,Asterix,Amp Single,0,2678.8235395648394,26612.244897959183
125,10400000,3291.3636363636365,Asterix,Amp Single,0,2759.2607162093327,26612.244897959183
126,10800000,2996.218487394958,Asterix,Amp Single,0,2805.1427275504548,26612.244897959183
127,11200000,2294.701986754967,Asterix,Amp Single,0,2787.8326231956485,26612.244897959183
128,11600000,4072.8155339805826,Asterix,Amp Single,0,2956.0853996152896,26612.244897959183
129,12000000,3668.5714285714284,Asterix,Amp Single,0,3041.8856319033266,26612.244897959183
130,12400000,3187.9032258064517,Asterix,Amp Single,0,3082.958563179624,26612.244897959183
131,12800000,3418.8524590163934,Asterix,Amp Single,0,3136.902632610675,26612.244897959183
132,13200000,2127.007299270073,Asterix,Amp Single,0,3066.855270934629,26612.244897959183
133,13600000,3438.75,Asterix,Amp Single,0,3142.5619541029455,26612.244897959183
134,14000000,4418.807339449541,Asterix,Amp Single,0,3291.499139660803,26612.244897959183
135,14400000,4737.894736842105,Asterix,Amp Single,0,3436.1522497086494,26612.244897959183
136,14800000,3562.6923076923076,Asterix,Amp Single,0,3492.799631738384,26612.244897959183
137,15200000,4971.428571428572,Asterix,Amp Single,0,3760.4722902057447,26612.244897959183
138,15600000,4000.4166666666665,Asterix,Amp Single,0,3753.232403474353,26612.244897959183
139,16000000,5251.5,Asterix,Amp Single,0,3911.52526061721,26612.244897959183
140,16400000,6540.0,Asterix,Amp Single,0,4246.734938036565,26612.244897959183
141,16800000,4752.136752136752,Asterix,Amp Single,0,4380.0633673486,26612.244897959183
142,17200000,3620.2290076335876,Asterix,Amp Single,0,4529.385538184952,26612.244897959183
143,17600000,6394.38202247191,Asterix,Amp Single,0,4824.948740432143,26612.244897959183
144,18000000,5221.428571428572,Asterix,Amp Single,0,4905.210863630045,26612.244897959183
145,18400000,5656.989247311828,Asterix,Amp Single,0,4997.120314677018,26612.244897959183
146,18800000,5644.148936170212,Asterix,Amp Single,0,5205.2659775248085,26612.244897959183
147,19200000,4369.130434782609,Asterix,Amp Single,0,5145.036163860212,26612.244897959183
148,19600000,6428.333333333333,Asterix,Amp Single,0,5387.827830526879,26612.244897959183
149,20000000,4793.867924528302,Asterix,Amp Single,0,5342.0646229797085,26612.244897959183
150,20400000,4958.333333333333,Asterix,Amp Single,0,5183.897956313042,26612.244897959183
151,20800000,8216.438356164384,Asterix,Amp Single,0,5530.328116715806,26612.244897959183
152,21200000,5563.020833333333,Asterix,Amp Single,0,5724.607299285781,26612.244897959183
153,21600000,3889.312977099237,Asterix,Amp Single,0,5474.100394748513,26612.244897959183
154,22000000,5574.509803921569,Asterix,Amp Single,0,5509.408517997813,26612.244897959183
155,22400000,6975.294117647059,Asterix,Amp Single,0,5641.239005031335,26612.244897959183
156,22800000,5484.803921568628,Asterix,Amp Single,0,5625.3045035711775,26612.244897959183
157,23200000,6552.688172043011,Asterix,Amp Single,0,5843.660277297217,26612.244897959183
